76. Good Will Hunting,1997,2h 6m,15,8.3, (1.1M)
77. Oldboy,2003,2h,18,8.3, (682K)
78. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,A,8.3, (539K)
79. Das Boot,1981,2h 29m,AA,8.4, (280K)
80. Braveheart,1995,2h 58m,15,8.3, (1.1M)
81. American Beauty,1999,2h 2m,18,8.3, (1.3M)
82. High and Low,1963,2h 23m,12,8.4, (61K)
83. Princess Mononoke,1997,2h 13m,PG,8.3, (462K)
84. Your Name.,2016,1h 46m,12A,8.4, (360K)
85. 3 Idiots,2009,2h 50m,12A,8.4, (461K)
86. Joker,2019,2h 2m,15,8.3, (1.6M)
87. Once Upon a Time in America,1984,3h 49m,18,8.3, (396K)
88. Capernaum,2018,2h 6m,15,8.4, (117K)
89. Singin' in the Rain,1952,1h 43m,U,8.3, (273K)
90. Come and See,1985,2h 22m,15,8.3, (113K)
91. Requiem for a Dream,2000,1h 42m,18,8.3, (942K)
92. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,U,8.3, (1.2M)
93. Toy Story 3,2010,1h 43m,U,8.3, (935K)
94. The Hunt,2012,1h 55m,15,8.3, (390K)
95. Ikiru,1952,2h 23m,A,8.3, (97K)
96. Eternal Sunshine of the Spotless Mind,2004,1h 48m,15,8.3, (1.1M)
97. 2001: A Space Odyssey,1968,2h 29m,U,8.3, (756K)
98. Incendies,2010,2h 11m,15,8.3, (230K)
99. The Apartment,1960,2h 5m,A,8.3, (209K)
100. Reservoir Dogs,1992,1h 39m,18,8.3, (1.1M)
101. Lawrence of Arabia,1962,3h 47m,PG,8.3, (330K)
102. The Chaos Class Failed the Class,1975,1h 35m,none,8.7, (27K)
103. Scarface,1983,2h 50m,18,8.3, (970K)
104. Double Indemnity,1944,1h 47m,A,8.3, (175K)
105. Heat,1995,2h 50m,15,8.3, (761K)
106. North by Northwest,1959,2h 16m,A,8.3, (361K)
107. Up,2009,1h 36m,U,8.3, (1.2M)
108. Citizen Kane,1941,1h 59m,A,8.3, (483K)
109. M,1931,1h 57m,A,8.3, (178K)
110. Full Metal Jacket,1987,1h 56m,18,8.2, (824K)
111. Vertigo,1958,2h 8m,A,8.2, (446K)
112. Amélie,2001,2h 2m,15,8.3, (820K)
113. A Separation,2011,2h 3m,PG,8.3, (270K)
114. Like Stars on Earth,2007,2h 42m,PG,8.3, (219K)
115. To Kill a Mockingbird,1962,2h 9m,A,8.3, (344K)
116. Die Hard,1988,2h 12m,18,8.2, (993K)
117. A Clockwork Orange,1971,2h 16m,X,8.2, (914K)
118. The Sting,1973,2h 9m,A,8.2, (291K)
119. Indiana Jones and the Last Crusade,1989,2h 7m,PG,8.2, (841K)
120. Oppenheimer,2023,3h,15,8.3, (899K)
121. Metropolis,1927,2h 33m,A,8.3, (195K)
122. Snatch,2000,1h 44m,18,8.2, (949K)
123. 1917,2019,1h 59m,15,8.2, (732K)
124. L.A. Confidential,1997,2h 18m,18,8.2, (643K)
125. Bicycle Thieves,1948,1h 29m,U,8.2, (186K)
126. Downfall,2004,2h 36m,15,8.2, (390K)
127. Dangal,2016,2h 41m,PG,8.3, (227K)
128. The Wolf of Wall Street,2013,3h,18,8.2, (1.7M)
129. Hamilton,2020,2h 40m,12,8.3, (129K)
130. Taxi Driver,1976,1h 54m,18,8.2, (982K)
131. Green Book,2018,2h 10m,12A,8.2, (640K)
132. Batman Begins,2005,2h 20m,12A,8.2, (1.7M)
133. The Truman Show,1998,1h 43m,PG,8.2, (1.3M)
134. For a Few Dollars More,1965,2h 12m,15,8.2, (290K)
135. Judgment at Nuremberg,1961,2h 59m,A,8.3, (92K)
136. Some Like It Hot,1959,2h 1m,A,8.2, (296K)
137. Shutter Island,2010,2h 18m,15,8.2, (1.6M)
138. The Kid,1921,1h 8m,U,8.2, (142K)
139. The Father,2020,1h 37m,12A,8.2, (214K)
140. All About Eve,1950,2h 18m,A,8.2, (145K)
141. Jurassic Park,1993,2h 7m,PG,8.2, (1.1M)
142. There Will Be Blood,2007,2h 38m,12A,8.2, (673K)
143. The Sixth Sense,1999,1h 47m,15,8.2, (1.1M)
144. Casino,1995,2h 58m,18,8.2, (595K)
145. Ran,1985,2h 40m,15,8.2, (145K)
146. Top Gun: Maverick,2022,2h 10m,12A,8.2, (782K)
147. No Country for Old Men,2007,2h 2m,15,8.2, (1.1M)
148. The Thing,1982,1h 49m,X,8.2, (501K)
149. Pan's Labyrinth,2006,1h 58m,15,8.2, (727K)
150. Unforgiven,1992,2h 10m,15,8.2, (456K)
151. Kill Bill: Vol. 1,2003,1h 51m,18,8.2, (1.3M)
152. A Beautiful Mind,2001,2h 15m,12,8.2, (1M)
153. The Treasure of the Sierra Madre,1948,2h 6m,A,8.2, (138K)
154. Prisoners,2013,2h 33m,15,8.2, (876K)
155. Yojimbo,1961,1h 50m,A,8.2, (138K)
156. Finding Nemo,2003,1h 40m,U,8.2, (1.2M)
157. Howl's Moving Castle,2004,1h 59m,U,8.2, (486K)
158. The Great Escape,1963,2h 52m,PG,8.2, (270K)
159. Monty Python and the Holy Grail,1975,1h 31m,12A,8.2, (589K)
160. The Elephant Man,1980,2h 4m,AA,8.2, (274K)
161. Dial M for Murder,1954,1h 45m,PG,8.2, (199K)
162. Klaus,2019,1h 36m,PG,8.2, (216K)
163. Gone with the Wind,1939,3h 58m,PG,8.2, (348K)
164. Chinatown,1974,2h 10m,X,8.1, (366K)
165. Rashomon,1950,1h 28m,X,8.2, (190K)
166. The Secret in Their Eyes,2009,2h 9m,18,8.2, (234K)
"167. Lock, Stock and Two Smoking Barrels",1998,1h 47m,18,8.1, (636K)
168. V for Vendetta,2005,2h 12m,15,8.1, (1.2M)
169. Inside Out,2015,1h 35m,U,8.1, (871K)
"170. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,15,8.1, (585K)
171. The Bridge on the River Kwai,1957,2h 41m,U,8.1, (243K)
172. Catch Me If You Can,2002,2h 21m,12A,8.1, (1.2M)
173. Trainspotting,1996,1h 33m,18,8.1, (751K)
174. Raging Bull,1980,2h 9m,X,8.1, (397K)
175. The Wild Robot,2024,1h 42m,U,8.2, (178K)
176. Fargo,1996,1h 38m,18,8.1, (759K)
177. Warrior,2011,2h 20m,12A,8.1, (516K)
178. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,12A,8.1, (1M)
179. Gran Torino,2008,1h 56m,15,8.1, (841K)
180. Million Dollar Baby,2004,2h 12m,12A,8.1, (748K)
181. Ben-Hur,1959,3h 32m,A,8.1, (264K)
182. Mad Max: Fury Road,2015,2h,15,8.1, (1.2M)
183. My Neighbour Totoro,1988,1h 26m,U,8.1, (410K)
184. Barry Lyndon,1975,3h 5m,A,8.1, (194K)
185. Dead Poets Society,1989,2h 8m,PG,8.1, (594K)
186. Spider-Man: No Way Home,2021,2h 28m,12A,8.2, (957K)
187. Children of Heaven,1997,1h 29m,PG,8.2, (86K)
188. 12 Years a Slave,2013,2h 14m,15,8.1, (766K)
189. Hacksaw Ridge,2016,2h 19m,15,8.1, (640K)
190. The Grand Budapest Hotel,2014,1h 39m,15,8.1, (930K)
191. Before Sunrise,1995,1h 41m,15,8.1, (361K)
192. Blade Runner,1982,1h 57m,AA,8.1, (856K)
193. Memories of Murder,2003,2h 11m,15,8.1, (243K)
194. Gone Girl,2014,2h 29m,18,8.1, (1.1M)
195. Ratatouille,2007,1h 51m,U,8.1, (890K)
"196. Monsters, Inc.",2001,1h 32m,U,8.1, (1M)
197. In the Name of the Father,1993,2h 13m,15,8.1, (197K)
198. How to Train Your Dragon,2010,1h 38m,PG,8.1, (849K)
199. Wild Tales,2014,2h 2m,15,8.1, (230K)
200. The Gold Rush,1925,1h 35m,U,8.1, (124K)
201. Jaws,1975,2h 4m,A,8.1, (697K)
202. Sherlock Jr.,1924,45m,U,8.2, (62K)
203. Mary and Max,2009,1h 32m,12A,8.1, (197K)
204. Le Mans '66,2019,2h 32m,12A,8.1, (526K)
205. The Deer Hunter,1978,3h 3m,X,8.1, (377K)
206. The Wages of Fear,1953,2h 36m,A,8.1, (71K)
207. The General,1926,1h 18m,U,8.1, (103K)
208. Mr. Smith Goes to Washington,1939,2h 9m,U,8.1, (126K)
209. On the Waterfront,1954,1h 48m,A,8.1, (173K)
210. Logan,2017,2h 17m,15,8.1, (893K)
211. Wild Strawberries,1957,1h 32m,A,8.1, (121K)
212. Rocky,1976,2h,A,8.1, (662K)
213. The Third Man,1949,1h 44m,A,8.1, (190K)
214. Tokyo Story,1953,2h 17m,U,8.1, (74K)
215. Spotlight,2015,2h 9m,15,8.1, (520K)
216. The Big Lebowski,1998,1h 57m,18,8.1, (893K)
217. The Terminator,1984,1h 47m,18,8.1, (968K)
218. Maharaja,2024,2h 21m,15,8.4, (70K)
219. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,12A,8.1, (1.3M)
220. The Seventh Seal,1957,1h 36m,X,8.1, (209K)
221. Room,2015,1h 58m,15,8.1, (469K)
222. La haine,1995,1h 38m,15,8.1, (213K)
223. Jai Bhim,2021,2h 44m,Not Rated,8.6, (227K)
224. Hotel Rwanda,2004,2h 1m,12A,8.1, (385K)
225. Platoon,1986,2h,15,8.1, (457K)
226. The Best Years of Our Lives,1946,2h 50m,U,8.1, (75K)
227. Before Sunset,2004,1h 20m,15,8.1, (303K)
228. The Exorcist,1973,2h 2m,X,8.1, (479K)
229. The Sound of Music,1965,2h 52m,U,8.1, (278K)
230. The Incredibles,2004,1h 55m,U,8.0, (859K)
231. The Wizard of Oz,1939,1h 42m,A,8.1, (452K)
232. The Passion of Joan of Arc,1928,1h 50m,A,8.1, (65K)
233. Hachi: A Dog's Tale,2009,1h 33m,U,8.1, (330K)
234. Rush,2013,2h 3m,15,8.1, (536K)
235. Stand by Me,1986,1h 29m,15,8.1, (466K)
236. My Father and My Son,2005,1h 52m,PG,8.2, (98K)
237. Network,1976,2h 1m,AA,8.1, (180K)
238. The Iron Giant,1999,1h 26m,U,8.1, (246K)
239. I'm Still Here,2024,2h 17m,15,8.2, (112K)
240. A Silent Voice,2016,2h 10m,12A,8.1, (122K)
241. The Handmaiden,2016,2h 25m,18,8.1, (189K)
242. The Battle of Algiers,1966,2h 1m,X,8.1, (71K)
243. To Be or Not to Be,1942,1h 39m,U,8.1, (47K)
244. The Grapes of Wrath,1940,2h 9m,A,8.1, (105K)
245. Into the Wild,2007,2h 28m,15,8.0, (681K)
246. Groundhog Day,1993,1h 41m,PG,8.0, (719K)
247. The Help,2011,2h 26m,12A,8.1, (514K)
248. Autumn Sonata,1978,1h 32m,AA,8.1, (40K)
249. Amores perros,2000,2h 34m,18,8.0, (268K)
250. Drishyam,2015,2h 43m,12A,8.2, (102K)
